S_No,Species,Trait,Parameter,"metaQTL name",Chromosome,"Position/Interval in cM/bp","Associated Markers",PVE/R2,"Link to reference"
621,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL5B.2,5B,32.91-33.25,"AX110433617, D_1405540",-,https://doi.org/10.1007/s12298-021-01085-0
622,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL5B.3,5B,51.81-52.45,"AX110675968, Xwmc149",-,https://doi.org/10.1007/s12298-021-01085-0
623,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL5B.4,5B,55.64-56.06,"AX111024537, AX110970244",-,https://doi.org/10.1007/s12298-021-01085-0
624,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL5B.5,5B,63.33-64.53,"AX110612519, AX109473183",-,https://doi.org/10.1007/s12298-021-01085-0
625,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL5B.6,5B,73.225-73.555,"AX108809180, AX110430683",-,https://doi.org/10.1007/s12298-021-01085-0
626,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL5B.7,5B,96.755-96.845,"AX111671992, AX111461377",-,https://doi.org/10.1007/s12298-021-01085-0
627,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL5D.1,5D,11.435-11.985,"AX89465863, D_2252499",-,https://doi.org/10.1007/s12298-021-01085-0
628,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL5D.2,5D,21.75-22.25,"Xbarc322, Xwmc788",-,https://doi.org/10.1007/s12298-021-01085-0
629,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL5D.3,5D,26.34-27.22,"AX111468671, AX111031068",-,https://doi.org/10.1007/s12298-021-01085-0
630,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL5D.4,5D,31.795-32.365,"AX109969054, AX110580874",-,https://doi.org/10.1007/s12298-021-01085-0
631,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL5D.5,5D,46.165-46.395,"AX110208099, AX111504657",-,https://doi.org/10.1007/s12298-021-01085-0
632,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL5D.6,5D,62.375-62.405,"Xwmc608, D_3948828",-,https://doi.org/10.1007/s12298-021-01085-0
633,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6A.1,6A,45.825-48.815,"AX109274358, AX109856662",-,https://doi.org/10.1007/s12298-021-01085-0
634,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6A.2,6A,59.365-61.375,"AX94879742, AX109851112",-,https://doi.org/10.1007/s12298-021-01085-0
635,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6B.1,6B,3.89-6.01,"Xgwm361, AX108725475",-,https://doi.org/10.1007/s12298-021-01085-0
636,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6B.2,6B,6.78-8.86,"AX109440201, AX110594295",-,https://doi.org/10.1007/s12298-021-01085-0
637,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6B.3,6B,21.285-23.415,"S_1054930, Xbarc18",-,https://doi.org/10.1007/s12298-021-01085-0
638,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6B.4,6B,29.79-32.01,"Xwmc417, Xgwm963",-,https://doi.org/10.1007/s12298-021-01085-0
639,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6B.5,6B,40.725-41.915,"D_1270032, AX108981289",-,https://doi.org/10.1007/s12298-021-01085-0
640,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6B.6,6B,46.815-46.985,"Xwmc104, S_1276135",-,https://doi.org/10.1007/s12298-021-01085-0
641,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6D.1,6D,-0.98,"Xpsp3200, AX111503712",-,https://doi.org/10.1007/s12298-021-01085-0
642,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6D.2,6D,10.375-11.885,"AX108726481, AX109882824",-,https://doi.org/10.1007/s12298-021-01085-0
643,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6D.3,6D,33.685-38.135,"D_1208709, D_1243222",-,https://doi.org/10.1007/s12298-021-01085-0
644,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6D.4,6D,50.405-53.035,"Xfba85a, Xbarc24",-,https://doi.org/10.1007/s12298-021-01085-0
645,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6D.5,6D,58.135-59.505,"Xwmc113, Xbarc146",-,https://doi.org/10.1007/s12298-021-01085-0
646,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6D.6,6D,63.685-64.255,"Xbarc146, Xgwm325",-,https://doi.org/10.1007/s12298-021-01085-0
647,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL6D.7,6D,76.175-76.385,"Xwmc822, Xgpw304",-,https://doi.org/10.1007/s12298-021-01085-0
648,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7A.1,7A,12.44-13.56,"S_1000950, D_1208529",-,https://doi.org/10.1007/s12298-021-01085-0
649,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7A.2,7A,21.595-22.985,"S_2265074, D_1001549",-,https://doi.org/10.1007/s12298-021-01085-0
650,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7A.3,7A,30.405-31.155,"AX109938650, AX108779571",-,https://doi.org/10.1007/s12298-021-01085-0
651,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7A.4,7A,40.725-42.255,"D_1217265, D_4405207",-,https://doi.org/10.1007/s12298-021-01085-0
652,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7A.5,7A,45.495-46.325,"D_1100222, AX111761655",-,https://doi.org/10.1007/s12298-021-01085-0
653,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7A.6,7A,57.12-58.82,"wPt7113, wPt9496",-,https://doi.org/10.1007/s12298-021-01085-0
654,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7A.7,7A,63.745-64.275,"S_1124198, AX111761577",-,https://doi.org/10.1007/s12298-021-01085-0
655,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7A.8,7A,66.05-67.41,"AX109305098, AX111450017",-,https://doi.org/10.1007/s12298-021-01085-0
656,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7A.9,7A,74.795-75.305,"D_2306957, Xwmc283",-,https://doi.org/10.1007/s12298-021-01085-0
657,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7A.10,7A,91.79-91.95,"AX111654360, Xwmc83",-,https://doi.org/10.1007/s12298-021-01085-0
658,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7B.1,7B,58.395-58.865,"D_1114281, S_1095523",-,https://doi.org/10.1007/s12298-021-01085-0
659,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7B.2,7B,69.775-71.145,"D_1100569, AX109277778",-,https://doi.org/10.1007/s12298-021-01085-0
660,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7B.3,7B,88.29-88.31,"D_1061740, Xfbb226.1",-,https://doi.org/10.1007/s12298-021-01085-0
661,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7D.1,7D,21.675-22.085,"wPt743790, Xwmc506",-,https://doi.org/10.1007/s12298-021-01085-0
662,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7D.2,7D,31.6-33,"AX110146201, D_1271315",-,https://doi.org/10.1007/s12298-021-01085-0
663,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7D.3,7D,47.775-48.725,"AX109353584, D_2291069",-,https://doi.org/10.1007/s12298-021-01085-0
664,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7D.4,7D,60.14-60.82,"D_1083033, D_1231393",-,https://doi.org/10.1007/s12298-021-01085-0
665,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7D.5,7D,63.555-64.505,"D_3936463, D_1210043",-,https://doi.org/10.1007/s12298-021-01085-0
666,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7D.6,7D,67.185-68.035,"D_1138610, D_4022626",-,https://doi.org/10.1007/s12298-021-01085-0
667,"Triticum aestivum","Nitrogen use efficiency","root system architecture",MQTL7D.7,7D,96.51-96.57,"D_1110200, D_1401510",-,https://doi.org/10.1007/s12298-021-01085-0
668,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-1,1A,23,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
669,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-2,1B,40,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
670,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-3,1D,40,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
671,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-4,2A,149,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
672,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-5,3A,60,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
673,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-6,3B,19,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
674,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-7,3B,63,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
675,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-8,4A,103,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
676,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-9,4A,140,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
677,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-10,4B,80,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
678,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-11,5B,96,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
679,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-12,5B,176,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
680,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-13,6A,146,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
681,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-14,6B,30,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
682,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-15,7A,42,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
683,"Triticum aestivum","Potassium use efficiency","Potassium use efficiency",MQTL-16,7B,178,", ",-,https://www.frontiersin.org/articles/10.3389/fpls.2020.00070/full
684,"Triticum aestivum","Quality traits","Quality traits",MQTL1A.1,1A,14.7-15.06,"IWB72800, D_1377838",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
685,"Triticum aestivum","Quality traits","Quality traits",MQTL1A.2,1A,22.255-22.685,"3980487_1al_11151, IWB35066",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
686,"Triticum aestivum","Quality traits","Quality traits",MQTL1A.3,1A,36.14-36.44,"BobWhite_c5793_372, 3955448_1al_1513",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
687,"Triticum aestivum","Quality traits","Quality traits",MQTL1A.4,1A,42.58-43.1,"3881592_1al_184, wPt2311",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
688,"Triticum aestivum","Quality traits","Quality traits",MQTL1A.5,1A,68.585-69.135,"AX109031595, wPt8172",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
689,"Triticum aestivum","Quality traits","Quality traits",MQTL1A.6,1A,85.525-87.755,"Tdurum_contig47183_205, Xwpt3698",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
690,"Triticum aestivum","Quality traits","Quality traits",MQTL1A.7,1A,92.935-94.845,"Xbarc174, wPt1906",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
691,"Triticum aestivum","Quality traits","Quality traits",MQTL1A.8,1A,118.43-123.05,"snp2584, wPt7030",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
692,"Triticum aestivum","Quality traits","Quality traits",MQTL1A.9,1A,156.605-156.875,"D_3022884, Xcfe0242b",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
693,"Triticum aestivum","Quality traits","Quality traits",MQTL1B.1,1B,41.215-41.445,"AX95133874, Xwmc44",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
694,"Triticum aestivum","Quality traits","Quality traits",MQTL1B.2,1B,66.295-66.805,"IWB65744, AX94462160",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
695,"Triticum aestivum","Quality traits","Quality traits",MQTL1B.3,1B,77.02-77.6,"IWB13393, IWA7298",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
696,"Triticum aestivum","Quality traits","Quality traits",MQTL1B.4,1B,109.975-111.725,"Ku_c241_460, IWB6906",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
697,"Triticum aestivum","Quality traits","Quality traits",MQTL1B.5,1B,195.485-197.295,"wPt1973, wPt_2315",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
698,"Triticum aestivum","Quality traits","Quality traits",MQTL1B.6,1B,428.335-439.345,"Kukri_rep_c111991_498, XPaggMcgg6",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
699,"Triticum aestivum","Quality traits","Quality traits",MQTL1D.1,1D,43.59-43.87,"Xbarc229.2, cfd92",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
700,"Triticum aestivum","Quality traits","Quality traits",MQTL1D.2,1D,47.215-47.565,"2257978_1dl_15913, 2281626_1dl_570",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
701,"Triticum aestivum","Quality traits","Quality traits",MQTL1D.3,1D,60.125-60.655,"D_1073588, D_1234123",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
702,"Triticum aestivum","Quality traits","Quality traits",MQTL1D.4,1D,75.955-76.005,"TA004476, 0719, Glu_D1",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
703,"Triticum aestivum","Quality traits","Quality traits",MQTL1D.5,1D,77.015-77.025,"TA004476, 0719, Glu_D1",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
704,"Triticum aestivum","Quality traits","Quality traits",MQTL1D.6,1D,109.42-110.64,"AX95218664, AX94769043",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
705,"Triticum aestivum","Quality traits","Quality traits",MQTL1D.7,1D,156.945-158.335,"IWB9092, IWB56444",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
706,"Triticum aestivum","Quality traits","Quality traits",MQTL2A.1,2A,8.11-11.85,"Xgwm328_2A, GBS_210",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
707,"Triticum aestivum","Quality traits","Quality traits",MQTL2A.2,2A,28.375-28.585,"Kukri_c36139_292, BS00063632_51",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
708,"Triticum aestivum","Quality traits","Quality traits",MQTL2A.3,2A,81.17-82.31,"RAC875_c17787_274, TA004602, 1630",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
709,"Triticum aestivum","Quality traits","Quality traits",MQTL2A.4,2A,99.545-100.255,"wPt8049, IWB23030",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
710,"Triticum aestivum","Quality traits","Quality traits",MQTL2A.5,2A,248.24-260.82,"BS00082084_51, RAC875_c54668_102",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
711,"Triticum aestivum","Quality traits","Quality traits",MQTL2A.6,2A,292.91-292.93,"RAC875_c54668_102, wsnp_Ku_c1292_2572110",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
712,"Triticum aestivum","Quality traits","Quality traits",MQTL2B.1,2B,0.675-0.885,"M35745, D_1162944",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
713,"Triticum aestivum","Quality traits","Quality traits",MQTL2B.2,2B,25.325-29.155,"Xwmc435, IWA897",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
714,"Triticum aestivum","Quality traits","Quality traits",MQTL2B.3,2B,49.85-50.25,"Ex_c55735_1012, Xwpt8004",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
715,"Triticum aestivum","Quality traits","Quality traits",MQTL2B.4,2B,73.21-74.99,"Xgwm55b, Excalibur_c33221_681",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
716,"Triticum aestivum","Quality traits","Quality traits",MQTL2B.5,2B,93.925-95.175,"CAP7_6910_523, 8086989_2bl_2189",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
717,"Triticum aestivum","Quality traits","Quality traits",MQTL2B.6,2B,136.715-139.745,"8074934_2bl_7628, Kukri_c9507_495",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
718,"Triticum aestivum","Quality traits","Quality traits",MQTL2B.7,2B,228.745-230.015,"Xgwm1273, U296",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
719,"Triticum aestivum","Quality traits","Quality traits",MQTL2D.1,2D,28.835-32.145,"2DS_5366150_1491, AX95093513",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
720,"Triticum aestivum","Quality traits","Quality traits",MQTL2D.2,2D,63.655-65.825,"AX110230565, Xctg05205",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
721,"Triticum aestivum","Quality traits","Quality traits",MQTL2D.3,2D,112.535-113.585,"Kukri_c44769_750, BS00011109_51",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
722,"Triticum aestivum","Quality traits","Quality traits",MQTL2D.4,2D,139.97-140.13,"IWB64805, IWB34403",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
723,"Triticum aestivum","Quality traits","Quality traits",MQTL2D.5,2D,163.795-169.685,"IWB29964, IWB32041",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
724,"Triticum aestivum","Quality traits","Quality traits",MQTL2D.6,2D,337.26-530.5,"IWB44461, GENE_4086_115",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
725,"Triticum aestivum","Quality traits","Quality traits",MQTL3A.1,3A,0-3.505,"Excalibur_c12875_1573, 4397491_3al_1806",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
726,"Triticum aestivum","Quality traits","Quality traits",MQTL3A.2,3A,25.525-25.575,"AX109316906, P41, M41, 4",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
727,"Triticum aestivum","Quality traits","Quality traits",MQTL3A.3,3A,65.655-70.505,"IWB54878.1, KUKRI_REP_C69970_717",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
728,"Triticum aestivum","Quality traits","Quality traits",MQTL3A.4,3A,110.515-111.005,"XPaggMcgg1, Excalibur_c5416_846",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
729,"Triticum aestivum","Quality traits","Quality traits",MQTL3B.1,3B,34.025-36.675,"XPaggMctg16, wPt7502",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
730,"Triticum aestivum","Quality traits","Quality traits",MQTL3B.2,3B,72.37-73.67,"IWB6207, D_4329487",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
731,"Triticum aestivum","Quality traits","Quality traits",MQTL3B.3,3B,111.495-113.645,"AX109869742, AX109842601",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
732,"Triticum aestivum","Quality traits","Quality traits",MQTL3B.4,3B,173.9-174.38,"ACA.CTGA12, Xctgacg317",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
733,"Triticum aestivum","Quality traits","Quality traits",MQTL3D.1,3D,36.21-39.17,"AX95218150, AX110037813",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
734,"Triticum aestivum","Quality traits","Quality traits",MQTL3D.2,3D,67.175-69.165,"IWB40541, IWB19457",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
735,"Triticum aestivum","Quality traits","Quality traits",MQTL3D.3,3D,122.25-144.91,"wPt669255, RFL_Contig5276_1756",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
736,"Triticum aestivum","Quality traits","Quality traits",MQTL3D.4,3D,189.14-238.9,"RFL_Contig5276_1756, BS00066932_51",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
737,"Triticum aestivum","Quality traits","Quality traits",MQTL4A.1,4A,8.9-10.82,"Kukri_c17417_797, Xgwm113",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
738,"Triticum aestivum","Quality traits","Quality traits",MQTL4A.2,4A,34.68-38.8,"wPt7924, wPt0538",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
739,"Triticum aestivum","Quality traits","Quality traits",MQTL4A.3,4A,66.665-71.515,"wPt0105, snp1066",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
740,"Triticum aestivum","Quality traits","Quality traits",MQTL4A.4,4A,113.235-115.285,"IAAV5818, SSRabg390.DI",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
741,"Triticum aestivum","Quality traits","Quality traits",MQTL4A.5,4A,164.685-164.995,"RAC875_c78248_115, BS00067074_51",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
742,"Triticum aestivum","Quality traits","Quality traits",MQTL4B.1,4B,12.335-12.485,"Xfbb255a, D_3939025",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
743,"Triticum aestivum","Quality traits","Quality traits",MQTL4B.2,4B,20.855-21.445,"Xmag983, S_3025233",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
744,"Triticum aestivum","Quality traits","Quality traits",MQTL4B.3,4B,44.94-45.16,"AX110396575, BS00076259_51",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
745,"Triticum aestivum","Quality traits","Quality traits",MQTL4B.4,4B,52.265-52.755,"wPt_3908, Xgwm538",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
746,"Triticum aestivum","Quality traits","Quality traits",MQTL4B.5,4B,89.275-92.325,"IWB73486, IWB15523",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
747,"Triticum aestivum","Quality traits","Quality traits",MQTL4B.6,4B,181.75-185.37,"Xgwm637b, wsnp_CAP12_c1101_569783",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
748,"Triticum aestivum","Quality traits","Quality traits",MQTL4D.1,4D,0.65-1.61,"Xwmc617, AX110527441 ",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
749,"Triticum aestivum","Quality traits","Quality traits",MQTL4D.2,4D,53.575-53.905,"IWB16077, Xsrap16",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
750,"Triticum aestivum","Quality traits","Quality traits",MQTL4D.3,4D,78.7-80.36,"Xgdm129, wPt2379",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
751,"Triticum aestivum","Quality traits","Quality traits",MQTL4D.4,4D,83.325-83.935,"AX94881415, AX94383842",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
752,"Triticum aestivum","Quality traits","Quality traits",MQTL4D.5,4D,85.955-86.665,"Xsrap11b, IWB62209",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
753,"Triticum aestivum","Quality traits","Quality traits",MQTL4D.6,4D,87.945-88.515,"AX110418361, Xgdm125",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
754,"Triticum aestivum","Quality traits","Quality traits",MQTL4D.7,4D,93.91-94.45,"Xbarc1183, AX94403999",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
755,"Triticum aestivum","Quality traits","Quality traits",MQTL4D.8,4D,205.42-206,"Xscss30.2.2, Kukri_c40437_66",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
756,"Triticum aestivum","Quality traits","Quality traits",MQTL5A.1,5A,8.8-9.54,"Xgwm0304b, AX95186387",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
757,"Triticum aestivum","Quality traits","Quality traits",MQTL5A.2,5A,39-41.96,"D_1206650, XACG.GAC1.2",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
758,"Triticum aestivum","Quality traits","Quality traits",MQTL5A.3,5A,103.455-103.825,"Xgwm410.3, IWB61598",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
759,"Triticum aestivum","Quality traits","Quality traits",MQTL5B.1,5B,8.555-8.765,"Xbarc133, GBS_257",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
760,"Triticum aestivum","Quality traits","Quality traits",MQTL5B.2,5B,42.72-43.98,"wPt5168, IWB36196",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
761,"Triticum aestivum","Quality traits","Quality traits",MQTL5D.1,5D,9.67-10.93,"D_4329273, S_1046500",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
762,"Triticum aestivum","Quality traits","Quality traits",MQTL5D.2,5D,28.13-28.25,"S_982589, S_1052739",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
763,"Triticum aestivum","Quality traits","Quality traits",MQTL5D.3,5D,31.62-31.72,"D_4329207, D_1116418",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
764,"Triticum aestivum","Quality traits","Quality traits",MQTL5D.4,5D,72.22-72.32,"IWB58798, Xswes342a",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
765,"Triticum aestivum","Quality traits","Quality traits",MQTL5D.5,5D,168.345-172.975,"wPt1197, 5DL_4588938_1981",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
766,"Triticum aestivum","Quality traits","Quality traits",MQTL5D.6,5D,418.14-432.64,"Jagger_c550_91, JD_c4438_839",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
767,"Triticum aestivum","Quality traits","Quality traits",MQTL6A.1,6A,0-3.25,"AX94788664, D_3952327",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
768,"Triticum aestivum","Quality traits","Quality traits",MQTL6A.2,6A,9.375-18.185,"IWB44292, D_2278273",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
769,"Triticum aestivum","Quality traits","Quality traits",MQTL6A.3,6A,35.255-35.885,"Tdurum_contig46828_1430, S_1116215",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
770,"Triticum aestivum","Quality traits","Quality traits",MQTL6A.4,6A,40.41-46.29,"S_1116215, IWB23460.2",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
771,"Triticum aestivum","Quality traits","Quality traits",MQTL6A.5,6A,57.555-70.285,"IWA504, wPt4791",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
772,"Triticum aestivum","Quality traits","Quality traits",MQTL6A.6,6A,201.955-235.725,"104.172, Xcdo1090a",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
773,"Triticum aestivum","Quality traits","Quality traits",MQTL6A.7,6A,270.91-277.27,"XPaggMctg18, Xbarc146b",-,https://www.biorxiv.org/content/10.1101/2021.11.24.469810v2
