id,species,trait,parameter,mqtl_name,chromosome,position_interval,associated_markers,pve,candidate_gene,reference,doi,source_file
M01594,Triticum aestivum,Quality traits,Quality traits,MQTL6A.5,6A,57.555-70.285,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01595,Triticum aestivum,Quality traits,Quality traits,MQTL6A.6,6A,201.955-235.725,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01596,Triticum aestivum,Quality traits,Quality traits,MQTL6A.7,6A,270.91-277.27,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01597,Triticum aestivum,Quality traits,Quality traits,MQTL6B.1,6B,26.995-28.745,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01598,Triticum aestivum,Quality traits,Quality traits,MQTL6B.2,6B,62.655-62.865,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01599,Triticum aestivum,Quality traits,Quality traits,MQTL6D.1,6D,33.725-38.195,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01600,Triticum aestivum,Quality traits,Quality traits,MQTL6D.2,6D,75.76-78.72,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01601,Triticum aestivum,Quality traits,Quality traits,MQTL6D.3,6D,116.54-121.72,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01602,Triticum aestivum,Quality traits,Quality traits,MQTL6D.4,6D,164.965-165.075,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01603,Triticum aestivum,Quality traits,Quality traits,MQTL7A.1,7A,57.08-80.58,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01604,Triticum aestivum,Quality traits,Quality traits,MQTL7A.2,7A,148.05-154.43,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01605,Triticum aestivum,Quality traits,Quality traits,MQTL7B.1,7B,1.105-1.295,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01606,Triticum aestivum,Quality traits,Quality traits,MQTL7B.2,7B,14.665-15.035,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01607,Triticum aestivum,Quality traits,Quality traits,MQTL7B.3,7B,46.835-50.385,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01608,Triticum aestivum,Quality traits,Quality traits,MQTL7B.4,7B,78.115-81.765,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01609,Triticum aestivum,Quality traits,Quality traits,MQTL7B.5,7B,92.32-95.8,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01610,Triticum aestivum,Quality traits,Quality traits,MQTL7B.6,7B,231.26-234.52,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01611,Triticum aestivum,Quality traits,Quality traits,MQTL7D.1,7D,12.67-20.15,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01612,Triticum aestivum,Quality traits,Quality traits,MQTL7D.2,7D,40.08-45.78,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01613,Triticum aestivum,Quality traits,Quality traits,MQTL7D.3,7D,55.265-64.215,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01614,Triticum aestivum,Quality traits,Quality traits,MQTL7D.4,7D,66.805-75.075,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01615,Triticum aestivum,Quality traits,Quality traits,MQTL7D.5,7D,114.92-121.22,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01616,Triticum aestivum,Quality traits,Quality traits,MQTL7D.6,7D,290.615-305.365,,,,,https://link.springer.com/article/10.1007/s00425-022-03904-4,MQTL_all traitsV3.0_final
M01617,Triticum turgidum subsp. dicoccoides,Quality traits,"Grain protein content,carbon isotope ratio",dicoccoides_MQTL_1A.2,1A,60.04,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01618,Triticum turgidum subsp. dicoccoides,Quality traits,"Grain protein content,Harvest Index",dicoccoides_MQTL_1A.3,1A,86.88,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01619,Triticum turgidum subsp. dicoccoides,Quality traits,Harvest Index,dicoccoides_MQTL_1B.1,1B,28.16,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01620,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_2A.2,2A,114.57,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01621,Triticum turgidum subsp. dicoccoides,Quality traits,Harvest Index,dicoccoides_MQTL_2B.1,2B,50.99,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01622,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_2B.2,2B,123.8,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01623,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_3A.2,3A,74.35,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01624,Triticum turgidum subsp. dicoccoides,Quality traits,Carbon isotope ratio,dicoccoides_MQTL_3A.3,3A,100.25,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01625,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_3B.1,3B,85.86,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01626,Triticum turgidum subsp. dicoccoides,Quality traits,"Grain protein content,Harvest index",dicoccoides_MQTL_4A.1,4A,38.36,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01627,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_4A.2,4A,131.23,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01628,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_4B.1,4B,16.38,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01629,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_4B.2,4B,78.98,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01630,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_5A.1,5A,35.99,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01631,Triticum turgidum subsp. dicoccoides,Quality traits,Carbon isotope ratio,dicoccoides_MQTL_5A.3,5A,106.33,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01632,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_5A.4,5A,142.55,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01633,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_5B.1,5B,52.54,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01634,Triticum turgidum subsp. dicoccoides,Quality traits,Harvest Index,dicoccoides_MQTL_5B.2,5B,123.74,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01635,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_6A.2,6A,84.95,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01636,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_6B.1,6B,52.19,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01637,Triticum turgidum subsp. dicoccoides,Quality traits,"Grain protein content,Harvest index",dicoccoides_MQTL_6B.2,6B,74.40,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01638,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_7A.2,7A,132.57,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01639,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_7A.3,7A,170.72,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01640,Triticum turgidum subsp. dicoccoides,Quality traits,Harvest Index,dicoccoides_MQTL_7B.1,7B,8.5,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01641,Triticum turgidum subsp. dicoccoides,Quality traits,Grain protein content,dicoccoides_MQTL_7B.3,7B,129.11,,−,,,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1305196/full,MQTL_all traitsV3.0_final
M01642,Triticum aestivum,Quality traits,"Grain protein content,flour protein content",MQTL1A.1,1A,150.52,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01643,Triticum aestivum,Quality traits,Grain protein content,MQTL1A.2,1A,219.04,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01644,Triticum aestivum,Quality traits,"Grain protein content,flour protein content",MQTL1A.3,1A,228.46,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01645,Triticum aestivum,Quality traits,"Grain protein content,flour protein content",MQTL1B.1,1B,154.99,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01646,Triticum aestivum,Quality traits,"Grain protein content,test weight",MQTL1B.2,1B,164.02,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01647,Triticum aestivum,Quality traits,"Grain protein content,test weight",MQTL1B.3,1B,168.95,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01648,Triticum aestivum,Quality traits,"Grain protein content,test weight",MQTL1B.4,1B,179.62,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01649,Triticum aestivum,Quality traits,"wet gluten content,test weight",MQTL1D.1,1D,97.86,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01650,Triticum aestivum,Quality traits,wet gluten content,MQTL1D.2,1D,115.27,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01651,Triticum aestivum,Quality traits,"Grain protein content,test weight",MQTL1D.3,1D,126.1,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01652,Triticum aestivum,Quality traits,"Grain protein content,protein conten",MQTL2A.1,2A,60.69,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01653,Triticum aestivum,Quality traits,"Grain protein content,protein conten",MQTL2A.2,2A,84.38,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01654,Triticum aestivum,Quality traits,"Grain protein content,protein conten",MQTL2A.3,2A,114.48,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01655,Triticum aestivum,Quality traits,"Grain protein content,test weight",MQTL2A.4,2A,137.64,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01656,Triticum aestivum,Quality traits,"Grain protein content, wet gluten content",MQTL2A.5,2A,173.82,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01657,Triticum aestivum,Quality traits,"Grain protein content, wet gluten content",MQTL2B.1,2B,77.29,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01658,Triticum aestivum,Quality traits,"Grain protein content, wet gluten content,test weight",MQTL2B.2,2B,87.35,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01659,Triticum aestivum,Quality traits,"Grain protein content, wet gluten content",MQTL2B.3,2B,93.93,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01660,Triticum aestivum,Quality traits,"Grain protein content,flour protein content",MQTL2B.4,2B,96.92,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01661,Triticum aestivum,Quality traits,"Grain protein content,flour protein content ,wet gluten content",MQTL2B.5,2B,101.48,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01662,Triticum aestivum,Quality traits,Grain protein content,MQTL2B.6,2B,107.77,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01663,Triticum aestivum,Quality traits,"flour protein content ,test weight",MQTL2D.1,2D,39.36,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01664,Triticum aestivum,Quality traits,Grain protein content,MQTL2D.2,2D,68.88,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01665,Triticum aestivum,Quality traits,"Grain protein content,flour protein content",MQTL2D.3,2D,97.32,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01666,Triticum aestivum,Quality traits,"Grain protein content,flour protein content,Protein content",MQTL2D.4,2D,109.45,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01667,Triticum aestivum,Quality traits,"Grain protein content,,test weightGPC, protein content",MQTL2D.5,2D,152.7,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01668,Triticum aestivum,Quality traits,Grain protein content,MQTL3A.1,3A,51.91,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01669,Triticum aestivum,Quality traits,Grain protein content,MQTL3A.2,3A,61.66,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01670,Triticum aestivum,Quality traits,Grain protein content,MQTL3A.3,3A,72.35,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01671,Triticum aestivum,Quality traits,"Grain protein content,flour protein content",MQTL3A.4,3A,85.73,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01672,Triticum aestivum,Quality traits,"Grain protein content,flour protein content",MQTL3A.5,3A,95.6,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01673,Triticum aestivum,Quality traits,"Grain protein content,test weight, protein content",MQTL3B.1,3B,208.4,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01674,Triticum aestivum,Quality traits,Grain protein content,MQTL3B.2,3B,214.62,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01675,Triticum aestivum,Quality traits,"test weight, protein content",MQTL3B.3,3B,302.76,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01676,Triticum aestivum,Quality traits,"flour protein content ,test weight",MQTL3D.1,3D,146.17,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01677,Triticum aestivum,Quality traits,"Grain protein content,test weight",MQTL4A.1,4A,37.83,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01678,Triticum aestivum,Quality traits,"Grain protein content,test weight",MQTL4A.2,4A,39.05,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01679,Triticum aestivum,Quality traits,Grain protein content,MQTL4A.3,4A,43.15,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01680,Triticum aestivum,Quality traits,Grain protein content,MQTL4A.4,4A,63.02,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01681,Triticum aestivum,Quality traits,Grain protein content,MQTL4A.5,4A,76.88,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01682,Triticum aestivum,Quality traits,"Grain protein content,test weight",MQTL4A.6,4A,100.13,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01683,Triticum aestivum,Quality traits,"Grain protein content,test weight, wet gluten content",MQTL4B.1,4B,119.62,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01684,Triticum aestivum,Quality traits,"Grain protein content,test weight",MQTL4B.2,4B,126.9,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01685,Triticum aestivum,Quality traits,"Grain protein content,test weight",MQTL5A.1,5A,71.77,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01686,Triticum aestivum,Quality traits,Grain protein content,MQTL5A.2,5A,81.13,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01687,Triticum aestivum,Quality traits,Grain protein content,MQTL5B.1,5B,151.9,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01688,Triticum aestivum,Quality traits,"Grain protein content,test weight, wet gluten content",MQTL5B.2,5B,162.31,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01689,Triticum aestivum,Quality traits,"Grain protein content,test weight, wet gluten content",MQTL5B.3,5B,169.27,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01690,Triticum aestivum,Quality traits,"Grain protein content,test weight, wet gluten content",MQTL5B.4,5B,169.27,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01691,Triticum aestivum,Quality traits,"Grain protein content,test weight, wet gluten content",MQTL5B.5,5B,173.52,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01692,Triticum aestivum,Quality traits,"Grain protein content,Protein conten",MQTL5B.6,5B,193.95,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01693,Triticum aestivum,Quality traits,"Grain protein content,Protein content,wet gluten content",MQTL5B.7,5B,205.39,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01694,Triticum aestivum,Quality traits,"Grain protein content,wet gluten content",MQTL5D.1,5D,87.67,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01695,Triticum aestivum,Quality traits,Grain protein content,MQTL5D.2,5D,164.1,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01696,Triticum aestivum,Quality traits,Grain protein content,MQTL6A.1,6A,178.99,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01697,Triticum aestivum,Quality traits,"Grain protein content,wet gluten content",MQTL6A.2,6A,236.4,,−,,,https://pubmed.ncbi.nlm.nih.gov/37144681/,MQTL_all traitsV3.0_final
M01698,Triticum aestivum,Phosphorous deficiency tolerance,"QSLPU-1D, QSPU-1D.1,QPH-1D",C1,1D,,,7.79–14.78,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01699,Triticum aestivum,Phosphorous deficiency tolerance,"QSPU-1D-2,QSLDW-1D,QSDW-1D,QSPC-1D,QSLDWT|SLDWC - 1D",C2,1D,,,8.21–20,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01700,Triticum aestivum,Phosphorous deficiency tolerance,"QSLPC-2A,QSPC-2A,QSLPU-2A",C3,2A,,,7.74–10.41,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01701,Triticum aestivum,Phosphorous deficiency tolerance,"QSLDW-2B-1,QSDW-2B,QRDW-2B,QRN-2B",C4,2B,,,7.79–17.50,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01702,Triticum aestivum,Phosphorous deficiency tolerance,"QRN-2B, QRNT|RNC - 2B,QSLDWT|SLDWC - 2B,QSLPU-2B,QSPU-2B, QSPUT|SPUC - 2B,QSLPUT|SLPUC - 2B,QSLPCT|SLPCC - 2B ,QSLPC-2B,QSPC-2B, QRNT|RNC - 2B",C5,2B,,,7.55–43.17,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01703,Triticum aestivum,Phosphorous deficiency tolerance,"QRDWT|RDWC - 3A ,QSLDW-3A.1,QSPC-3A.1",C6,3A,,,8.27–37,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01704,Triticum aestivum,Phosphorous deficiency tolerance,"QPH-3A,QSLDW-3A-2,QSLPC-3A,QSPC-3A.2,QSDW-3A",C7,3A,,,7.51–16.59,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01705,Triticum aestivum,Phosphorous deficiency tolerance,"QRN-3B-2,QSLPC-3B,QSLDW-3B,QSDW-3B,QSPC-3B,QPH-3B-2",C8,3B,,,9.24–15.33,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01706,Triticum aestivum,Phosphorous deficiency tolerance,"QSLPU-4B,QRPU-4B,QSPU-4B-1,QPH-4B, QSPUT|SPUC",C9,4B,,,17.54–61,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01707,Triticum aestivum,Phosphorous deficiency tolerance,"QSLDW-4D,QSLPC-4D,QSPC-4D",C10,4D,,,5.80–12.65,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01708,Triticum aestivum,Phosphorous deficiency tolerance,"QSPU-5A, QSLPUT|SLPUC - 5A ,QSLPU-5A-1",C11,5A,,,7.20–16,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01709,Triticum aestivum,Phosphorous deficiency tolerance,"QSLDW-5D-2,QSLPC-5D,QSPC-5D,QSLDW-5D-1,QSDW-5D",C12,5D,,,9.2–12.36,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01710,Triticum aestivum,Phosphorous deficiency tolerance,"QRPU-6A, QRPCT|RPCC - 6A ,QRPC-6A,QPH-6A",C13,6A,,,8.16–12.79,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01711,Triticum aestivum,Phosphorous deficiency tolerance,"QSLPU-6B,QSPU-6B, QRNT|RNC - 6B ,QRDW-6B,QPH-6B",C14,6B,,,9.2–30,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01712,Triticum aestivum,Phosphorous deficiency tolerance,"QSLPUT|SLPUC - 6D,QSPUT|SPUC - 6D ,QTLRN-6D,QSLPU-6D,QSLPC-6D",C15,6D,,,5.63–15,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01713,Triticum aestivum,Phosphorous deficiency tolerance,"QRNT|RNC - 7B,QSDWT|SDWC - 7B,QSLPCT|SLPCC - 7B,QSPCT|SPCC - 7B,QRDWT|RDWC - 7B ,QRN-7B",C16,7B,,,15–30,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01714,Triticum aestivum,Phosphorous deficiency tolerance,"QSPUT|SPUC - 7B ,QSLPC-7B-1,QSPC-7B-1",C17,7B,,,7.52–8,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01715,Triticum aestivum,Phosphorous deficiency tolerance,"QRNT|RNC - 7B ,QRPU-7B,QSLPC-7B-2,QSPC-7B-2,QSLPCT|SLPCC - 7B ,QRL-7B",C18,7B,,,7.37–50.76,,,https://link.springer.com/article/10.1007/s10681-014-1248-4/,MQTL_all traitsV3.0_final
M01716,Triticum aestivum,Nitrogen use efficiency,root system architecture,MQTL1A.1,1A,13.65-14.31,,,,,https://doi.org/10.1007/s12298-021-01085-0,MQTL_all traitsV3.0_final
M01717,Triticum aestivum,Nitrogen use efficiency,root system architecture,MQTL1A.2,1A,18.855-19.505,,,,,https://doi.org/10.1007/s12298-021-01085-0,MQTL_all traitsV3.0_final
M01718,Triticum aestivum,Nitrogen use efficiency,root system architecture,MQTL1A.3,1A,24.615-24.745,,,,,https://doi.org/10.1007/s12298-021-01085-0,MQTL_all traitsV3.0_final
M01719,Triticum aestivum,Nitrogen use efficiency,root system architecture,MQTL1A.4,1A,35.45-36.41,,,,,https://doi.org/10.1007/s12298-021-01085-0,MQTL_all traitsV3.0_final
M01720,Triticum aestivum,Nitrogen use efficiency,root system architecture,MQTL1A.5,1A,42.415-43.085,,,,,https://doi.org/10.1007/s12298-021-01085-0,MQTL_all traitsV3.0_final
M01721,Triticum aestivum,Nitrogen use efficiency,root system architecture,MQTL1A.6,1A,54.275-55.925,,,,,https://doi.org/10.1007/s12298-021-01085-0,MQTL_all traitsV3.0_final
M01722,Triticum aestivum,Nitrogen use efficiency,root system architecture,MQTL1B.1,1B,10.16-11.14,,,,,https://doi.org/10.1007/s12298-021-01085-0,MQTL_all traitsV3.0_final
M01723,Triticum aestivum,Nitrogen use efficiency,root system architecture,MQTL1B.2,1B,28.545-29.515,,,,,https://doi.org/10.1007/s12298-021-01085-0,MQTL_all traitsV3.0_final
M01724,Triticum aestivum,Nitrogen use efficiency,root system architecture,MQTL1B.3,1B,45.815-46.205,,,,,https://doi.org/10.1007/s12298-021-01085-0,MQTL_all traitsV3.0_final
