chromosome,genome,window_start_bp,window_end_bp,n_genes,fractionation_rate,mean_gc_content,n_records,n_distinct_studies,n_trait_categories,trait_shannon_entropy,records_per_gene,studies_per_gene
7A,A,340000000,360000000,52,0.3077,44.012,12,4,3,1.3844,0.23077,0.07692
7A,A,360000000,380000000,26,0.1923,46.009,7,3,2,0.9852,0.26923,0.11538
7A,A,380000000,400000000,28,0.1429,47.004,1,1,1,0.0,0.03571,0.03571
7A,A,400000000,420000000,39,0.2821,47.457,8,3,2,0.8113,0.20513,0.07692
7A,A,420000000,440000000,95,0.0632,47.846,11,4,4,1.6172,0.11579,0.04211
7A,A,440000000,460000000,82,0.1341,51.934,16,5,5,2.0306,0.19512,0.06098
7A,A,460000000,480000000,100,0.13,50.831,14,5,4,1.8631,0.14,0.05
7A,A,480000000,500000000,108,0.1296,48.901,16,8,4,1.6494,0.14815,0.07407
7A,A,500000000,520000000,144,0.0694,53.34,35,14,4,1.4047,0.24306,0.09722
7A,A,520000000,540000000,114,0.1667,50.465,18,7,3,0.8031,0.15789,0.0614
7A,A,540000000,560000000,180,0.1278,51.782,23,13,5,1.8049,0.12778,0.07222
7A,A,560000000,580000000,173,0.2312,50.697,20,9,5,1.9568,0.11561,0.05202
7A,A,580000000,600000000,106,0.1698,52.265,39,12,6,2.0328,0.36792,0.11321
7A,A,600000000,620000000,160,0.1562,51.936,48,21,4,1.1191,0.3,0.13125
7A,A,620000000,640000000,196,0.2653,52.142,45,15,5,1.6087,0.22959,0.07653
7A,A,640000000,660000000,187,0.246,51.226,70,16,5,1.7835,0.37433,0.08556
7A,A,660000000,680000000,280,0.2786,51.329,112,30,6,1.8313,0.4,0.10714
7A,A,680000000,700000000,235,0.2128,52.414,107,31,8,1.4788,0.45532,0.13191
7A,A,700000000,720000000,300,0.2133,50.958,297,38,7,1.4676,0.99,0.12667
7A,A,720000000,740000000,277,0.2274,51.129,184,21,7,0.8887,0.66426,0.07581
7B,B,0,20000000,225,0.1956,51.246,99,34,8,2.1785,0.44,0.15111
7B,B,20000000,40000000,177,0.226,50.975,37,13,7,2.2707,0.20904,0.07345
7B,B,40000000,60000000,194,0.1856,50.781,77,27,8,1.9212,0.39691,0.13918
7B,B,60000000,80000000,144,0.125,51.037,55,15,6,1.7717,0.38194,0.10417
7B,B,80000000,100000000,144,0.1319,54.079,15,8,4,1.6895,0.10417,0.05556
7B,B,100000000,120000000,187,0.139,50.262,19,13,4,1.74,0.1016,0.06952
7B,B,120000000,140000000,158,0.1266,52.857,54,11,4,1.2784,0.34177,0.06962
7B,B,140000000,160000000,118,0.1102,50.221,50,14,5,1.1861,0.42373,0.11864
7B,B,160000000,180000000,95,0.0737,49.948,59,7,4,0.3706,0.62105,0.07368
7B,B,180000000,200000000,87,0.1609,49.354,35,11,4,1.1324,0.4023,0.12644
7B,B,200000000,220000000,97,0.1856,48.912,16,12,4,1.749,0.16495,0.12371
7B,B,220000000,240000000,80,0.125,49.734,24,8,3,0.6584,0.3,0.1
7B,B,240000000,260000000,93,0.129,49.949,3,2,2,0.9183,0.03226,0.02151
7B,B,260000000,280000000,30,0.1333,49.525,8,4,2,0.5436,0.26667,0.13333
7B,B,280000000,300000000,31,0.2258,45.26,4,4,2,0.8113,0.12903,0.12903
7B,B,300000000,320000000,34,0.2059,46.799,2,2,1,0.0,0.05882,0.05882
7B,B,320000000,340000000,89,0.0899,49.129,27,8,3,0.6053,0.30337,0.08989
7B,B,340000000,360000000,22,0.1818,46.62,1,1,1,0.0,0.04545,0.04545
7B,B,360000000,380000000,76,0.0658,47.366,11,3,4,1.4911,0.14474,0.03947
7B,B,380000000,400000000,97,0.1134,49.637,3,2,1,0.0,0.03093,0.02062
7B,B,400000000,420000000,61,0.0984,49.829,5,5,2,0.971,0.08197,0.08197
7B,B,420000000,440000000,126,0.1111,51.785,9,6,3,1.2244,0.07143,0.04762
7B,B,440000000,460000000,134,0.0672,51.046,21,4,1,0.0,0.15672,0.02985
7B,B,460000000,480000000,104,0.0769,51.499,9,5,4,1.7527,0.08654,0.04808
7B,B,480000000,500000000,128,0.125,51.39,21,9,5,1.5684,0.16406,0.07031
7B,B,500000000,520000000,132,0.0758,50.408,50,8,5,1.5376,0.37879,0.06061
7B,B,520000000,540000000,175,0.1486,51.826,36,12,3,1.3032,0.20571,0.06857
7B,B,540000000,560000000,103,0.1456,52.897,22,13,5,1.5089,0.21359,0.12621
7B,B,560000000,580000000,135,0.2074,50.714,55,10,4,1.0841,0.40741,0.07407
7B,B,580000000,600000000,195,0.2872,51.523,55,21,7,2.008,0.28205,0.10769
7B,B,600000000,620000000,141,0.234,52.731,78,20,6,1.3123,0.55319,0.14184
7B,B,620000000,640000000,172,0.2384,50.665,76,24,4,1.4003,0.44186,0.13953
7B,B,640000000,660000000,189,0.2381,52.506,64,20,7,1.7694,0.33862,0.10582
7B,B,660000000,680000000,196,0.352,52.048,64,18,7,2.059,0.32653,0.09184
7B,B,680000000,700000000,218,0.3028,51.166,58,29,7,2.2456,0.26606,0.13303
7B,B,700000000,720000000,308,0.2468,50.176,132,37,9,1.8336,0.42857,0.12013
7B,B,720000000,740000000,188,0.25,51.845,39,19,7,2.0977,0.20745,0.10106
7B,B,740000000,760000000,209,0.3828,49.008,51,19,6,1.8289,0.24402,0.09091
7D,D,0,20000000,401,0.2244,50.144,124,40,7,1.3994,0.30923,0.09975
7D,D,20000000,40000000,293,0.215,52.032,51,16,6,1.7204,0.17406,0.05461
7D,D,40000000,60000000,313,0.2141,51.515,64,24,6,2.1232,0.20447,0.07668
7D,D,60000000,80000000,321,0.3364,50.985,70,16,6,1.7834,0.21807,0.04984
7D,D,80000000,100000000,236,0.2246,51.182,37,19,7,2.1552,0.15678,0.08051
7D,D,100000000,120000000,186,0.1398,52.731,40,15,6,1.744,0.21505,0.08065
7D,D,120000000,140000000,193,0.2021,54.51,24,7,3,1.241,0.12435,0.03627
7D,D,140000000,160000000,140,0.1143,51.307,11,9,4,1.2776,0.07857,0.06429
7D,D,160000000,180000000,183,0.082,53.727,29,12,5,1.4805,0.15847,0.06557
7D,D,180000000,200000000,178,0.0843,49.769,47,9,4,0.5476,0.26404,0.05056
7D,D,200000000,220000000,116,0.1552,49.44,12,5,3,1.1887,0.10345,0.0431
7D,D,220000000,240000000,153,0.2288,49.199,4,4,3,1.5,0.02614,0.02614
7D,D,240000000,260000000,93,0.0538,49.831,2,2,1,0.0,0.02151,0.02151
7D,D,260000000,280000000,101,0.1089,50.464,4,2,2,1.0,0.0396,0.0198
7D,D,280000000,300000000,26,0.0385,45.846,3,3,2,0.9183,0.11538,0.11538
7D,D,300000000,320000000,41,0.1951,45.865,1,1,1,0.0,0.02439,0.02439
7D,D,320000000,340000000,24,0.1667,44.265,2,2,2,1.0,0.08333,0.08333
7D,D,340000000,360000000,21,0.1429,49.976,13,7,3,0.7732,0.61905,0.33333
7D,D,360000000,380000000,70,0.0714,47.753,13,8,3,0.7732,0.18571,0.11429
7D,D,380000000,400000000,145,0.1034,49.848,34,9,5,0.7579,0.23448,0.06207
7D,D,400000000,420000000,142,0.1127,50.247,15,11,4,1.6049,0.10563,0.07746
7D,D,420000000,440000000,156,0.1282,52.438,9,6,3,1.3516,0.05769,0.03846
7D,D,440000000,460000000,133,0.0977,51.214,14,7,2,0.9852,0.10526,0.05263
7D,D,460000000,480000000,143,0.0839,52.372,3,3,2,0.9183,0.02098,0.02098
7D,D,480000000,500000000,147,0.1293,50.83,8,5,3,1.0613,0.05442,0.03401
7D,D,500000000,520000000,174,0.1494,52.04,22,8,4,1.6546,0.12644,0.04598
7D,D,520000000,540000000,171,0.1696,52.527,34,13,4,0.699,0.19883,0.07602
7D,D,540000000,560000000,209,0.2488,52.861,75,11,3,0.8919,0.35885,0.05263
7D,D,560000000,580000000,270,0.2,52.083,120,17,5,1.1608,0.44444,0.06296
7D,D,580000000,600000000,256,0.1875,52.989,29,13,6,1.7857,0.11328,0.05078
7D,D,600000000,620000000,341,0.1906,51.746,33,19,7,2.1627,0.09677,0.05572
7D,D,620000000,640000000,327,0.2355,51.407,36,15,7,1.6797,0.11009,0.04587
