Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Triticum aestivum homoeologue gene stable ID	Triticum aestivum homoeologue chromosome/scaffold name	Triticum aestivum homoeologue chromosome/scaffold start (bp)	Triticum aestivum homoeologue chromosome/scaffold end (bp)	Triticum aestivum homoeology confidence [0 low, 1 high]
TraesCS4B02G055600	4B	44184275	44188921	TraesCS4D02G055900	4D	30955935	30961149	1
TraesCS2A02G348800	2A	587732579	587737246					
TraesCS7B02G400300	7B	666553354	666555012	TraesCS7D02G480200	7D	591203857	591205140	1
TraesCSU02G129700	Un	110519995	110521045					
TraesCS4A02G270900	4A	581934950	581945016	TraesCS4D02G040700	4D	19177456	19188329	1
TraesCS4A02G270900	4A	581934950	581945016	TraesCS4B02G043200	4B	31517658	31529129	1
TraesCS3D02G332000	3D	444062404	444072986	TraesCS3A02G338500	3A	585026903	585034994	1
TraesCS3D02G332000	3D	444062404	444072986	TraesCS3B02G370100	3B	581968180	581976202	1
TraesCS3A02G155500	3A	148615573	148617469	TraesCS3D02G163000	3D	134556495	134558443	1
TraesCS3A02G155500	3A	148615573	148617469	TraesCS3B02G182000	3B	190905994	190912050	1
TraesCS3B02G006000	3B	3259140	3262012	TraesCS3D02G006900	3D	2448239	2451524	1
TraesCS3A02G317800	3A	558891382	558893421	TraesCS3D02G313500	3D	427445542	427447864	1
TraesCS3A02G317800	3A	558891382	558893421	TraesCS3B02G348100	3B	557086977	557089327	1
TraesCS4D02G204500	4D	352118066	352120105	TraesCS4A02G100900	4A	113329906	113332241	1
TraesCS4D02G204500	4D	352118066	352120105	TraesCS4B02G203900	4B	435484220	435486671	1
TraesCS7D02G186500	7D	139092278	139094071	TraesCS7B02G090100	7B	104475103	104476881	1
TraesCS7D02G186500	7D	139092278	139094071	TraesCS7A02G185100	7A	139126439	139128232	1
TraesCS7D02G186500	7D	139092278	139094071	TraesCS7B02G089838	7B	104307210	104308103	1
TraesCS7D02G451300	7D	571195965	571200061	TraesCS7A02G463500	7A	660407799	660412095	1
TraesCS7D02G451300	7D	571195965	571200061	TraesCS7B02G364100	7B	627054571	627058803	1
TraesCS6B02G271000	6B	487829121	487837779	TraesCS6D02G235800	6D	332496964	332505030	1
TraesCS6B02G271000	6B	487829121	487837779	TraesCS6A02G254500	6A	471798529	471807000	1
TraesCS6B02G102100	6B	79998845	79999510					
TraesCS2A02G179200	2A	137951211	137952375	TraesCS2B02G206100	2B	184909609	184910937	1
TraesCS2A02G179200	2A	137951211	137952375	TraesCS2D02G187700	2D	131316790	131317572	1
TraesCS1D02G438000	1D	485104530	485116647	TraesCS1A02G428700	1A	582417095	582428862	1
TraesCS1D02G438000	1D	485104530	485116647	TraesCS1B02G463400	1B	675559290	675571562	1
TraesCS3B02G252700	3B	405817423	405826808	TraesCS3D02G230300	3D	313715642	313718867	1
TraesCS3B02G252700	3B	405817423	405826808	TraesCS3A02G222500	3A	416188884	416192107	1
TraesCS3B02G476200	3B	725028334	725028735	TraesCS3A02G442400	3A	684323056	684324853	1
TraesCS3B02G476200	3B	725028334	725028735	TraesCS3D02G435100	3D	547455157	547455479	1
TraesCS3B02G412100	3B	648183188	648186471	TraesCS5A02G507500	5A	671912723	671914646	1
TraesCS7B02G138200	7B	173859571	173866902	TraesCS7D02G251300	7D	224050280	224057495	1
TraesCS7B02G138200	7B	173859571	173866902	TraesCS7A02G252700	7A	237517592	237525093	1
TraesCS5B02G569100	5B	711736654	711740410	TraesCS4D02G366300	4D	509850878	509852835	0
TraesCS1A02G344300	1A	532378806	532385116	TraesCS1D02G346700	1D	434239997	434244806	1
TraesCS1A02G344300	1A	532378806	532385116	TraesCS1B02G358100	1B	587806406	587813312	1
TraesCS2D02G435400	2D	546447375	546453600	TraesCS2A02G438800	2A	689931260	689939724	1
TraesCS2D02G435400	2D	546447375	546453600	TraesCS2B02G458600	2B	653270805	653277511	1
TraesCS5B02G509600	5B	675077759	675082940	TraesCS5D02G509700	5D	534856264	534859370	1
TraesCS5B02G509600	5B	675077759	675082940	TraesCS4A02G363800	4A	636684198	636689246	1
TraesCS4B02G150500	4B	235355361	235398682	TraesCS4D02G163500	4D	258883285	258910978	1
TraesCS4B02G150500	4B	235355361	235398682	TraesCS4A02G144400	4A	242866774	242902545	1
TraesCS5D02G016600	5D	9470928	9472861	TraesCS5A02G011700	5A	7619165	7621105	1
TraesCS5D02G016600	5D	9470928	9472861	TraesCS5B02G009600	5B	9416856	9418777	1
TraesCS1A02G334500	1A	521907397	521907627	TraesCS1D02G337000	1D	426920281	426920514	1
TraesCS6D02G316600	6D	425901816	425904472	TraesCS6A02G336600	6A	570381575	570384332	1
TraesCS6D02G316600	6D	425901816	425904472	TraesCS6B02G367100	6B	640977878	640980596	1
TraesCS3B02G108600	3B	74762102	74763301	TraesCS3D02G093800	3D	47703377	47704574	0
TraesCS3B02G108600	3B	74762102	74763301	TraesCS3D02G093900	3D	47707611	47708835	1
TraesCS2B02G408000	2B	579685736	579690421	TraesCS2A02G391000	2A	640706410	640710776	1
TraesCS2B02G408000	2B	579685736	579690421	TraesCS2D02G387700	2D	493077613	493082231	1
TraesCS3B02G512400	3B	756071597	756072648					
TraesCS7A02G242800	7A	218236980	218240288	TraesCS7D02G241500	7D	205737331	205745926	1
TraesCS7A02G242800	7A	218236980	218240288	TraesCS7B02G148800	7B	196382223	196385469	1
TraesCS4A02G427300	4A	698175223	698175858	TraesCS7D02G056400	7D	30240751	30241306	1
TraesCS3D02G308000	3D	421666515	421667642	TraesCS3A02G295100	3A	529205494	529206501	1
TraesCS2D02G497200	2D	593218605	593220794	TraesCS2B02G525300	2B	719472270	719474487	1
TraesCS2D02G497200	2D	593218605	593220794	TraesCS2A02G497000	2A	727956751	727958973	1
TraesCS3B02G389900	3B	613805549	613807714	TraesCS3A02G357300	3A	605171897	605174157	1
TraesCS3B02G389900	3B	613805549	613807714	TraesCS3D02G351200	3D	462236429	462238837	1
TraesCS7D02G160100	7D	110285313	110287098	TraesCS7B02G063700	7B	69354453	69356532	1
TraesCS7D02G160100	7D	110285313	110287098	TraesCS7A02G159200	7A	115502958	115504909	1
TraesCS6D02G361800	6D	452709126	452709768	TraesCS6A02G376700	6A	598252988	598253753	1
TraesCS6D02G361800	6D	452709126	452709768	TraesCS6A02G377100	6A	598568375	598568775	1
TraesCS6D02G361800	6D	452709126	452709768	TraesCS6A02G376800	6A	598326572	598326972	1
TraesCS6D02G361800	6D	452709126	452709768	TraesCS6A02G377000	6A	598520406	598520987	1
TraesCS6D02G361800	6D	452709126	452709768	TraesCS6A02G377200	6A	598575811	598576193	1
TraesCS6D02G361800	6D	452709126	452709768	TraesCS6A02G376900	6A	598460489	598461097	1
TraesCS6D02G361800	6D	452709126	452709768	TraesCS6B02G414600	6B	687412962	687413619	1
TraesCS6D02G361800	6D	452709126	452709768	TraesCS6B02G414500	6B	687371963	687372384	1
TraesCS6D02G361800	6D	452709126	452709768	TraesCS6B02G414400	6B	687366567	687367110	1
TraesCS2D02G078300	2D	33580027	33581027	TraesCS2B02G095200	2B	55207953	55210289	1
TraesCS2D02G078300	2D	33580027	33581027	TraesCS2B02G095400	2B	55698154	55699120	1
TraesCS2D02G078300	2D	33580027	33581027	TraesCS2A02G080600	2A	36410696	36411711	1
TraesCS3A02G006100	3A	7254324	7260233	TraesCS3D02G004500	3D	1765787	1771755	1
TraesCS1B02G098600	1B	105107670	105111654	TraesCS1D02G082200	1D	64138723	64142375	1
TraesCS1B02G098600	1B	105107670	105111654	TraesCS1D02G082500	1D	64417145	64421396	1
TraesCS1B02G098600	1B	105107670	105111654	TraesCS1A02G080500	1A	63327891	63331958	1
TraesCS1B02G098600	1B	105107670	105111654	TraesCS1A02G080600	1A	63475812	63481063	1
TraesCS2B02G030400	2B	13797664	13798422					
TraesCS7A02G104700	7A	63703784	63707759	TraesCS7D02G098700	7D	59094317	59097644	1
TraesCS7A02G470700	7A	666807128	666812194	TraesCS7D02G458000	7D	575945655	575955076	1
TraesCS7A02G470700	7A	666807128	666812194	TraesCS7B02G372500	7B	638129515	638134455	1
TraesCS2A02G288200	2A	495220490	495222890	TraesCS2D02G286500	2D	366296220	366298597	1
TraesCS2A02G288200	2A	495220490	495222890	TraesCS7B02G151800	7B	201992184	201993002	1
TraesCS2A02G288200	2A	495220490	495222890	TraesCS2B02G305000	2B	435060950	435063315	1
TraesCS5B02G051100	5B	55547510	55547835	TraesCS5D02G056800	5D	52397577	52397900	1
TraesCS7D02G135700	7D	87209571	87211933	TraesCS7A02G135400	7A	88319904	88323091	1
TraesCS7D02G135700	7D	87209571	87211933	TraesCS7B02G036700	7B	35510503	35512770	1
TraesCS2D02G072800	2D	30482975	30489985	TraesCS2A02G073800	2A	32507357	32514565	1
TraesCS2D02G072800	2D	30482975	30489985	TraesCS2B02G088500	2B	49970524	49977333	1
TraesCS2D02G072800	2D	30482975	30489985	TraesCS2B02G088800	2B	50148741	50150964	1
TraesCS6B02G292500	6B	526099805	526101425	TraesCS6A02G265300	6A	490301789	490302873	1
TraesCS6B02G292500	6B	526099805	526101425	TraesCS6D02G249200	6D	352835443	352836857	1
TraesCS4A02G426900	4A	698053238	698055924					
TraesCS7D02G438700	7D	557841163	557843908	TraesCS7A02G449600	7A	643420348	643423147	1
TraesCS7D02G438700	7D	557841163	557843908	TraesCS7B02G349100	7B	605954772	605957651	1
TraesCS7B02G331600	7B	586742941	586743820	TraesCS7A02G458900	7A	654005036	654005524	1
TraesCS7D02G195700	7D	152086815	152088177	TraesCS7B02G099300	7B	113571114	113572025	1
TraesCS7D02G195700	7D	152086815	152088177	TraesCS7B02G099400	7B	113625714	113627081	1
TraesCS2D02G584100	2D	643800294	643802057	TraesCS2A02G572800	2A	768676588	768678510	1
TraesCS2D02G584100	2D	643800294	643802057	TraesCS2B02G614800	2B	793314028	793321805	1
TraesCS1A02G303200	1A	496645160	496646178	TraesCS1B02G313500	1B	537415235	537416247	1
TraesCS2A02G511200	2A	735856114	735858925	TraesCS2D02G512600	2D	603665047	603667208	1
TraesCS2A02G511200	2A	735856114	735858925	TraesCS2B02G539300	2B	734452993	734457716	1
TraesCS7D02G409300	7D	528057492	528061264					
TraesCS2D02G470500	2D	574823865	574825066	TraesCS2A02G470600	2A	713150412	713165837	1
TraesCS2D02G470500	2D	574823865	574825066	TraesCS2B02G493200	2B	690962852	690963880	1
TraesCS6A02G104100	6A	73365652	73366776	TraesCS6B02G133200	6B	130140530	130141335	1
TraesCS6A02G104100	6A	73365652	73366776	TraesCS6D02G092700	6D	58026754	58027552	1
TraesCS5A02G479200	5A	652064346	652065544	TraesCS5D02G492800	5D	525761222	525762216	1
TraesCS5A02G479200	5A	652064346	652065544	TraesCS5B02G492100	5B	660186256	660187417	1
TraesCS5A02G479200	5A	652064346	652065544	TraesCS5B02G492300	5B	660209563	660210671	1
TraesCS2D02G489800	2D	588735954	588737429	TraesCS2B02G517300	2B	712051178	712052878	1
TraesCS7D02G343400	7D	439867571	439868650	TraesCS7B02G247300	7B	457530162	457531247	1
TraesCS7D02G343400	7D	439867571	439868650	TraesCS7A02G335700	7A	491259265	491260480	1
TraesCS7D02G077200	7D	45512395	45514309	TraesCS4A02G380300	4A	657498515	657502008	1
TraesCS4A02G188300	4A	467244888	467251842	TraesCS4B02G127600	4B	167348641	167355915	1
TraesCS4A02G188300	4A	467244888	467251842	TraesCS4D02G125100	4D	109269161	109276371	1
TraesCS6B02G075300	6B	51611954	51614720	TraesCS6A02G057300	6A	30134525	30136832	0
TraesCS6B02G075300	6B	51611954	51614720	TraesCS6D02G059400	6D	27840233	27843311	1
TraesCS5A02G497100	5A	664532368	664532736	TraesCS4B02G324800	4B	615772879	615773246	1
TraesCS5A02G497100	5A	664532368	664532736	TraesCS4D02G321700	4D	484268500	484268873	1
TraesCS2D02G353800	2D	452556890	452557951	TraesCS2B02G373800	2B	532475918	532477039	1
TraesCS4A02G055900	4A	46560846	46561761	TraesCS4B02G248900	4B	514585001	514585647	1
TraesCS4A02G055900	4A	46560846	46561761	TraesCS4D02G249000	4D	418357748	418358378	1
TraesCS4A02G055900	4A	46560846	46561761	TraesCS7B02G254700	7B	469742201	469742443	1
TraesCS5D02G285200	5D	385951931	385960489	TraesCS5A02G278200	5A	487847327	487855735	1
TraesCS5D02G285200	5D	385951931	385960489	TraesCS5B02G277600	5B	463858296	463866740	1
TraesCS5D02G010300	5D	6220148	6232655					
TraesCS2A02G508400	2A	734909525	734910327					
TraesCS4D02G110100	4D	89537236	89541764	TraesCS4A02G209000	4A	502027604	502031875	1
TraesCS4D02G110100	4D	89537236	89541764	TraesCS4B02G112600	4B	126597077	126601325	1
TraesCS6D02G345700	6D	445493651	445498305	TraesCS6A02G362000	6A	592030560	592035268	1
TraesCS6D02G345700	6D	445493651	445498305	TraesCS6B02G395600	6B	671158645	671163347	1
TraesCS5A02G189700	5A	393252482	393254499	TraesCS5D02G201200	5D	304876446	304878659	1
TraesCS5A02G189700	5A	393252482	393254499	TraesCS5B02G193500	5B	349711512	349713648	1
TraesCS1B02G301000	1B	521766877	521767839	TraesCS6D02G063300	6D	29756921	29757731	0
TraesCS7B02G125600	7B	147534383	147535281	TraesCS1D02G359800	1D	443112221	443112697	0
TraesCS1A02G366700	1A	545521478	545528022	TraesCS1D02G372200	1D	450218058	450224522	1
TraesCS1A02G366700	1A	545521478	545528022	TraesCS1B02G384500	1B	617817049	617823421	1
TraesCS5A02G452892	5A	634467177	634467539					
TraesCS2D02G018400	2D	8686471	8687142	TraesCS2A02G019500	2A	9088667	9089242	1
TraesCS3D02G257600	3D	360041779	360046862	TraesCS3B02G290400	3B	466099528	466104258	1
TraesCS3D02G257600	3D	360041779	360046862	TraesCS3A02G257600	3A	479473689	479479765	1
TraesCS2A02G363000	2A	607511599	607514396	TraesCS2B02G380900	2B	545151119	545153928	1
TraesCS2D02G446700	2D	556938595	556941567	TraesCS2A02G447800	2A	696914917	696917877	1
TraesCS2D02G446700	2D	556938595	556941567	TraesCS2B02G468200	2B	664210960	664214274	1
TraesCS6A02G223900	6A	420826561	420834174	TraesCS6B02G257400	6B	462024536	462031918	1
TraesCS6A02G223900	6A	420826561	420834174	TraesCS6D02G211500	6D	298911095	298920590	1
TraesCS7A02G484300	7A	675396590	675401913	TraesCS7B02G388000	7B	653895158	653900231	1
TraesCS7A02G484300	7A	675396590	675401913	TraesCS7D02G471700	7D	585303323	585308671	1
TraesCS6D02G186900	6D	249448513	249457046	TraesCS6A02G203600	6A	349509306	349518822	1
TraesCS6D02G186900	6D	249448513	249457046	TraesCS6B02G223700	6B	337231046	337240157	1
TraesCS3A02G334100	3A	579377243	579383014	TraesCS3B02G365100	3B	576449738	576455465	1
TraesCS3A02G334100	3A	579377243	579383014	TraesCS3D02G327600	3D	439677492	439683178	1
TraesCS3B02G247100	3B	393193016	393194413	TraesCS6D02G217700	6D	307414026	307418266	0
TraesCS2A02G372300	2A	615119948	615120988	TraesCS1D02G085800	1D	70119852	70120894	0
TraesCS2A02G372300	2A	615119948	615120988	TraesCS1D02G085500	1D	70105284	70106327	1
TraesCS6D02G345600	6D	445416216	445420586					
TraesCS3D02G062900	3D	27759756	27761451	TraesCS3B02G075300	3B	46281462	46282709	1
TraesCS3D02G062900	3D	27759756	27761451	TraesCS5A02G019000	5A	14513909	14514451	0
TraesCS3D02G062900	3D	27759756	27761451	TraesCS5A02G018800	5A	14502732	14503513	0
TraesCS3D02G062900	3D	27759756	27761451	TraesCS5A02G019100	5A	14519439	14520256	0
TraesCS3D02G062900	3D	27759756	27761451	TraesCS5A02G018600	5A	14491516	14492287	0
TraesCS3D02G062900	3D	27759756	27761451	TraesCS5A02G018900	5A	14508286	14508872	0
TraesCS6D02G287500	6D	396839317	396846428	TraesCS6A02G308300	6A	543206042	543210786	1
TraesCS6D02G287500	6D	396839317	396846428	TraesCS6B02G337000	6B	593354135	593359065	1
TraesCS7D02G225100	7D	185135567	185140867	TraesCS7B02G190300	7B	327272787	327277482	1
TraesCS7D02G225100	7D	185135567	185140867	TraesCS7A02G223500	7A	192667671	192672764	1
TraesCS7B02G139600	7B	175998711	176000054	TraesCS7A02G251500	7A	235468230	235469238	1
TraesCS7B02G139600	7B	175998711	176000054	TraesCS7D02G249600	7D	220978500	220979495	1
TraesCS2D02G522800	2D	611244388	611245963					
TraesCS6D02G349600	6D	447278276	447278731	TraesCS6B02G401800	6B	678174820	678175275	0
TraesCS2D02G408700	2D	523624627	523627503	TraesCS2A02G411200	2A	669427534	669432377	1
TraesCS2D02G408700	2D	523624627	523627503	TraesCS2B02G430000	2B	617929704	617934384	1
TraesCS4B02G126100	4B	159345220	159347532	TraesCS6D02G275300	6D	384290625	384292942	1
TraesCS4B02G126100	4B	159345220	159347532	TraesCS7A02G280000	7A	299379209	299381607	0
TraesCS3A02G097800	3A	63189474	63192257	TraesCS3D02G098400	3D	50008342	50011238	1
TraesCS3A02G097800	3A	63189474	63192257	TraesCS3B02G113500	3B	79467150	79470140	1
TraesCS5D02G202200	5D	306780578	306786727	TraesCS5A02G188800	5A	390552710	390563403	1
TraesCS5D02G202200	5D	306780578	306786727	TraesCS5B02G194900	5B	352133100	352139869	1
TraesCS2D02G243000	2D	272790087	272790297	TraesCS2B02G331400	2B	474912117	474912327	0
TraesCS2D02G243000	2D	272790087	272790297	TraesCS3A02G345500	3A	594895745	594895955	0
TraesCS2D02G236200	2D	231595977	231603989	TraesCS2A02G245700	2A	355454121	355461260	1
TraesCS2D02G236200	2D	231595977	231603989	TraesCS2B02G269600	2B	366833480	366840747	1
TraesCS3D02G426000	3D	538573796	538574056	TraesCS3B02G468600	3B	713492560	713492820	1
TraesCS2A02G581500	2A	773562880	773563385	TraesCS2B02G609300	2B	789563953	789564540	1
TraesCS7B02G305700	7B	548162095	548163862	TraesCS7D02G399700	7D	515821323	515822990	1
TraesCS7B02G305700	7B	548162095	548163862	TraesCS7A02G405800	7A	589453773	589455307	1
TraesCS2D02G397700	2D	509738668	509742095	TraesCS2B02G418200	2B	598963127	598966692	1
TraesCS2D02G397700	2D	509738668	509742095	TraesCS2A02G400100	2A	653369830	653373555	1
TraesCS4D02G103800	4D	82459086	82463148	TraesCS4A02G202900	4A	492938661	492943177	1
TraesCS4D02G103800	4D	82459086	82463148	TraesCS4B02G106900	4B	116479633	116483936	1
TraesCS3D02G143900	3D	107070965	107071859	TraesCS3B02G161400	3B	157919662	157921997	1
TraesCS3B02G160300	3B	155522924	155525585	TraesCS3D02G142500	3D	104349169	104350071	1
TraesCS3B02G160300	3B	155522924	155525585	TraesCS3A02G311900	3A	551727650	551728783	1
TraesCS7D02G480900	7D	591446506	591450316	TraesCS7A02G493400	7A	681992243	681996670	1
TraesCS7D02G480900	7D	591446506	591450316	TraesCS7B02G404000	7B	672385976	672389869	1
TraesCS7B02G376100	7B	641146462	641146902	TraesCS7A02G474500	7A	669776608	669777005	1
TraesCS5D02G131300	5D	208535319	208537410	TraesCS5A02G123300	5A	269318905	269321031	1
TraesCS5D02G131300	5D	208535319	208537410	TraesCS5B02G123100	5B	222126089	222127872	1
TraesCS1D02G103200	1D	92959197	92963507	TraesCS1A02G094700	1A	90106135	90110560	1
TraesCS7D02G360200	7D	463038117	463041530	TraesCS7A02G362900	7A	537058890	537062386	1
TraesCS7D02G360200	7D	463038117	463041530	TraesCS7B02G266300	7B	488704154	488707440	1
TraesCS4B02G141100	4B	185867579	185869638	TraesCS4D02G136000	4D	122257612	122259561	1
TraesCS4B02G141100	4B	185867579	185869638	TraesCS4A02G176600	4A	448098533	448105792	1
TraesCS1A02G161200	1A	290123278	290127360	TraesCS1B02G177700	1B	322472350	322476317	1
TraesCS1A02G161200	1A	290123278	290127360	TraesCS1D02G158200	1D	223161099	223165288	1
TraesCS7D02G360000	7D	462306512	462308010					
TraesCS7B02G112800	7B	130120445	130126138	TraesCS7A02G205400	7A	167680218	167683798	1
TraesCS1A02G284000	1A	481690847	481703225	TraesCS1D02G283100	1D	381030470	381037248	1
TraesCS1A02G284000	1A	481690847	481703225	TraesCS1B02G293300	1B	510979760	510985634	1
TraesCS7D02G262400	7D	241096468	241099398	TraesCS7B02G159300	7B	216678642	216682012	1
TraesCS7D02G262400	7D	241096468	241099398	TraesCS7A02G262000	7A	257354977	257359520	1
TraesCS2B02G179600	2B	154244257	154253409	TraesCS2D02G159900	2D	102867066	102874736	1
TraesCS2B02G179600	2B	154244257	154253409	TraesCS2A02G154400	2A	101905215	101912075	1
TraesCS1D02G431300	1D	481550496	481552740	TraesCS1B02G453900	1B	669922599	669924501	1
TraesCS1D02G431300	1D	481550496	481552740	TraesCS1A02G422500	1A	577985321	577987238	1
TraesCS7B02G363800	7B	626182558	626183858	TraesCS7A02G463000	7A	659428067	659429802	1
TraesCS7B02G363800	7B	626182558	626183858	TraesCS7D02G450900	7D	570652313	570654212	1
TraesCS5A02G179900	5A	378508702	378518232	TraesCS5D02G184500	5D	286188398	286196977	1
TraesCS5A02G179900	5A	378508702	378518232	TraesCS5B02G177800	5B	325061503	325084142	1
TraesCS4B02G347000	4B	640577580	640579956	TraesCS4D02G341900	4D	498611259	498613783	1
TraesCS4B02G347000	4B	640577580	640579956	TraesCS5A02G515700	5A	679147026	679149263	1
TraesCS5B02G101600	5B	134543449	134543760	TraesCS5A02G094900	5A	132091731	132092488	0
TraesCS5B02G101600	5B	134543449	134543760	TraesCS5D02G108100	5D	121296254	121296967	1
TraesCS2D02G204300	2D	155978451	155980196	TraesCS2B02G223900	2B	214004164	214006157	1
TraesCS2D02G204300	2D	155978451	155980196	TraesCS2A02G196200	2A	166084179	166086087	1
TraesCSU02G207200	Un	307802804	307804054					
TraesCS5A02G093200	5A	129599637	129604460	TraesCS5D02G105500	5D	119484368	119489670	1
TraesCS5A02G093200	5A	129599637	129604460	TraesCS5B02G099300	5B	132285262	132291028	1
TraesCS3A02G472600	3A	703844139	703844549	TraesCS3D02G468600	3D	570838559	570840464	1
TraesCS7D02G279200	7D	270156664	270161169	TraesCS7B02G181000	7B	272106455	272110551	1
TraesCS7D02G279200	7D	270156664	270161169	TraesCS7A02G280600	7A	299584265	299594963	1
TraesCS7A02G479900	7A	672041945	672046257	TraesCS7B02G382200	7B	648042287	648045080	1
TraesCS7A02G479900	7A	672041945	672046257	TraesCS7D02G467000	7D	580552330	580555764	1
TraesCS2D02G392000	2D	499310985	499312351	TraesCS3B02G390600	3B	615635419	615636798	0
TraesCS2D02G392000	2D	499310985	499312351	TraesCS6B02G373900	6B	646722540	646723932	0
TraesCS7B02G381700	7B	647009804	647011918	TraesCS5A02G113800	5A	226793347	226796946	1
TraesCS3D02G297700	3D	411073760	411079186	TraesCS3A02G304300	3A	540043847	540048505	1
TraesCS3D02G297700	3D	411073760	411079186	TraesCS3B02G332200	3B	537688942	537694084	1
TraesCS4A02G460700	4A	725856978	725857771	TraesCS7D02G025400	7D	12070271	12071008	0
TraesCS4A02G460700	4A	725856978	725857771	TraesCS7D02G082400	7D	49270167	49270991	1
TraesCS7B02G071800	7B	79096012	79096506	TraesCS7A02G167200	7A	122347422	122348321	1
TraesCS7B02G071800	7B	79096012	79096506	TraesCS7D02G167800	7D	117879518	117880382	1
TraesCS2B02G165300	2B	137607206	137610282	TraesCS2D02G144000	2D	85388346	85390795	1
TraesCS4D02G356400	4D	505352502	505354843	TraesCS4B02G363200	4B	652001040	652003347	1
TraesCS4D02G356400	4D	505352502	505354843	TraesCS5A02G531400	5A	689617841	689620273	1
TraesCS5A02G011300	5A	7487068	7487998	TraesCS5D02G016200	5D	9290731	9291986	1
TraesCS5A02G011300	5A	7487068	7487998	TraesCS5B02G009200	5B	9298645	9299536	1
TraesCS6B02G237400	6B	411100739	411105978	TraesCS1D02G383200	1D	457936035	457939891	1
TraesCS4A02G066400	4A	63545774	63552581	TraesCS4D02G243300	4D	405776060	405783362	1
TraesCS4A02G066400	4A	63545774	63552581	TraesCS4B02G243900	4B	505089523	505096667	1
TraesCS3B02G590100	3B	815282363	815283688	TraesCS3D02G528700	3D	606675841	606677025	1
TraesCS3B02G590100	3B	815282363	815283688	TraesCS3A02G520800	3A	737541582	737542911	1
TraesCS4D02G047000	4D	22571833	22575365	TraesCS4A02G267200	4A	579526122	579530023	1
TraesCS2B02G307400	2B	439880190	439887060	TraesCS2D02G288900	2D	370625514	370632953	1
TraesCS2B02G307400	2B	439880190	439887060	TraesCS2A02G291000	2A	501567192	501574976	1
TraesCS3B02G420500	3B	657643537	657649323	TraesCS3A02G388200	3A	637112999	637115569	1
TraesCS3B02G420500	3B	657643537	657649323	TraesCS3D02G381300	3D	497598007	497601266	1
TraesCS3B02G255000	3B	411421894	411427845	TraesCS3D02G227900	3D	309911796	309918065	1
TraesCS3B02G255000	3B	411421894	411427845	TraesCS3A02G225500	3A	422909509	422916916	1
TraesCS3B02G561100	3B	794851202	794860744	TraesCS3A02G498100	3A	724043750	724052797	1
TraesCS2D02G598800	2D	650601306	650604027					
TraesCS4A02G100700	4A	113316502	113318687	TraesCS4D02G204700	4D	352130072	352132242	1
TraesCS4A02G100700	4A	113316502	113318687	TraesCS4B02G203700	4B	435433867	435436239	1
TraesCS4A02G415900	4A	685786304	685787686	TraesCS4B02G316700	4B	606552922	606555581	1
TraesCS4A02G415900	4A	685786304	685787686	TraesCS4D02G313300	4D	479411058	479412494	1
TraesCS3D02G144000	3D	107072263	107073738	TraesCS3B02G161500	3B	157922179	157926310	1
TraesCS6A02G287600	6A	520050651	520051912	TraesCS6D02G268300	6D	378262956	378264026	1
TraesCS6A02G287600	6A	520050651	520051912	TraesCS6B02G316900	6B	564659546	564660815	1
TraesCS3A02G204500	3A	359075275	359082577	TraesCS3D02G207600	3D	274336943	274342402	1
TraesCS3A02G204500	3A	359075275	359082577	TraesCS3B02G233000	3B	359222793	359228713	1
TraesCS5D02G420300	5D	480854658	480859856	TraesCS5A02G411500	5A	600065633	600070581	1
TraesCS5D02G420300	5D	480854658	480859856	TraesCS5B02G415100	5B	589370812	589375752	1
TraesCS1D02G284000	1D	382234086	382237773	TraesCS1A02G285000	1A	482335686	482339114	1
TraesCS1D02G284000	1D	382234086	382237773	TraesCS1B02G294300	1B	512172610	512176124	1
TraesCS3B02G497600	3B	741369531	741379788					
TraesCS3D02G485700	3D	582055926	582056890	TraesCS3B02G540700	3B	779524966	779525961	1
TraesCS2B02G610000	2B	789695301	789697412	TraesCS2A02G577400	2A	771505211	771507063	1
TraesCS2B02G610000	2B	789695301	789697412	TraesCS2D02G588600	2D	645757211	645759171	1
TraesCS3D02G380300	3D	496743830	496746677	TraesCS3A02G389300	3A	638060528	638063618	1
TraesCS6B02G187200	6B	213466550	213469881	TraesCS6A02G164400	6A	162309178	162311213	1
TraesCS6B02G187200	6B	213466550	213469881	TraesCS6D02G148400	6D	121344671	121346466	1
TraesCS4A02G302900	4A	599123065	599125854	TraesCS4D02G009300	4D	4417011	4420046	1
TraesCS4A02G302900	4A	599123065	599125854	TraesCS4B02G011000	4B	7308581	7311528	1
TraesCS4A02G302900	4A	599123065	599125854	TraesCS4B02G010700	4B	7170561	7173535	1
TraesCS4A02G302900	4A	599123065	599125854	TraesCS4B02G010800	4B	7217474	7220561	1
TraesCS4A02G302900	4A	599123065	599125854	TraesCS4B02G010900	4B	7263071	7265978	1
TraesCS4A02G302900	4A	599123065	599125854	TraesCS4B02G011100	4B	7353498	7356378	1
TraesCS4B02G278400	4B	561021365	561022716					
TraesCS5B02G110000	5B	157383256	157394936	TraesCS5D02G123100	5D	179943433	179947817	1
TraesCS5B02G110000	5B	157383256	157394936	TraesCS5A02G111000	5A	212218414	212221978	1
TraesCS5B02G447700	5B	618475640	618476734	TraesCS5D02G450500	5D	498777510	498778871	1
